ProteinName,Ibaq,IbaqLog,IbaqPpb,Condition
sp|P35504|UD15_HUMAN,10951659.086206896,76.82391336899629,10.55122154271898,stomach
sp|Q53EP0|FND3B_HUMAN,10945190.280392155,76.82306096195045,10.544989262958362,stomach
sp|Q15777|MPPD2_HUMAN,10942307.586666668,76.82268094153957,10.542211972330705,stomach
sp|Q9NXW9|ALKB4_HUMAN,10939919.205263158,76.8223660096039,10.539910919940507,stomach
sp|A0A0A0MS14|HV145_HUMAN,10924596.25,76.82034388793976,10.525148234725592,stomach
sp|P28827|PTPRM_HUMAN,10915763.30278439,76.81917694288023,10.516638256263567,stomach
sp|Q9BQP7|MGME1_HUMAN,10914223.0,76.81897335253791,10.515154273262175,stomach
sp|Q30154|DRB5_HUMAN,10908700.578947369,76.81824318734188,10.509833774557839,stomach
sp|Q9H334|FOXP1_HUMAN,10902068.748275861,76.81736584923674,10.503444430797405,stomach
sp|O95754|SEM4F_HUMAN,10901002.35,76.81722472347528,10.50241702441333,stomach
sp|Q14508|WFDC2_HUMAN,10898007.816666666,76.81682835699957,10.499531983492282,stomach
sp|Q9Y2Z2|MTO1_HUMAN,10894721.544444444,76.81639324962083,10.496365870851868,stomach
sp|O43526|KCNQ2_HUMAN,10884486.475925926,76.81503726976443,10.48650503838861,stomach
sp|Q9NWT6|HIF1N_HUMAN,10883849.0,76.814952772412,10.485890871195343,stomach
sp|O43895|XPP2_HUMAN,10876735.192105263,76.81400950217196,10.479037173274428,stomach
sp|Q7L4I2|RSRC2_HUMAN,10876053.299999999,76.81391905286158,10.478380213939387,stomach
sp|P20839|IMDH1_HUMAN,10868971.226923076,76.81297931861977,10.471557090481275,stomach
